"name","iata_code","icao_code","callsign","country","active","headquarters","founded","fleet_size","destinations","alliance"
"Air Hong Kong","LD","AHK","AIR HONG KONG","Hong Kong",false,,,,,
"Aerochiapas","","AHP","AEROCHIAPAS","Mexico",false,,,,,
"Air Adriatic","","AHR","ADRIATIC","Croatia",false,,,,,
"Air Viggi San Raffaele","","AHS","AIRSAR","Italy",false,,,,,
"ABC Air Hungary","","AHU","ABC HUNGARY","Hungary",false,,,,,
"Aeromist-Kharkiv","HT","AHW","AEROMIST","Ukraine",true,,,,,
"Azerbaijan Airlines","J2","AHY","AZAL","Azerbaijan",true,,,,,
"Avies","U3","AIA","AVIES","Estonia",true,,,,,
"Airbus Industrie","AP","AIB","AIRBUS INDUSTRIE","France",true,,,,,
"Alpine Air Chile","","AIH","ALPINE CHILE","Chile",false,,,,,
"Air Integra","","AII","INTEGRA","Canada",false,,,,,
"ABC Aerolineas","","AIJ","ABC AEROLINEAS","Mexico",false,,,,,
"African Airlines International Limited","","AIK","AFRICAN AIRLINES","Kenya",false,,,,,
"African International Airways","","AIN","FLY CARGO","Swaziland",false,,,,,
"Alpine Air Express","5A","AIP","ALPINE AIR","United States",false,,,,,
"Alicante Internacional Airlines","","AIU","ALIA","Spain",false,,,,,
"Aba Air","","ABP","BAIR","Czech Republic",false,,,,,
"Airblue","ED","ABQ","PAKBLUE","Pakistan",true,,,,,
"Airmark Aviation","","THM","THAI AIRMARK","Thailand",false,,,,,
"Airlift International","","AIR","AIRLIFT","United States",true,,,,,
"Airest","","AIT"," ","Estonia",false,,,,,
"Air Baffin","","BFF","AIR BAFFIN","Canada",false,,,,,
"Air Bandama","","BDM","BANDAMA","Ivory Coast",false,,,,,
"Air Berlin","AB","BER","AIR BERLIN","Germany",true,,,,,
"Air Brousse","","ABT","AIR BROUSSE","Canada",false,,,,,
"Air Contractors","AG","ABR","CONTRACT","Ireland",true,,,,,
"Air Illinois","","AIL","AIR ILLINOIS","United States",false,,,,,
"Air India Limited","AI","AIC","AIRINDIA","India",true,,,,,
"Air Inter Gabon","","AIG"," ","Gabon",false,,,,,
"Air Bourbon","ZB","BUB","BOURBON","Reunion",true,,,,,
"Air Atlanta Icelandic","CC","ABD","ATLANTA","Iceland",true,,,,,
"Air Inuit","","AIE","AIR INUIT","Canada",false,,,,,
"Air Sureste","","AIS","SURESTE","Spain",false,,,,,
"Air Srpska","RB","SBK","Air Srpska","Bosnia and Herzegovina",true,,,,,
"Air Tahiti Nui","TN","THT","TAHITI AIRLINES","France",true,,,,,
"Airvias S/A Linhas Aereas","","AIV","AIRVIAS","Brazil",false,,,,,
"Aero Services Executive","W4","BES","BIRD EXPRESS","France",true,,,,,
"Atlantic Island Airways","","AIW","TARTAN","Canada",false,,,,,
"Aircruising Australia","","AIX","CRUISER","Australia",false,,,,,
"Aircrew Check and Training Australia","","AIY","AIRCREW","Australia",false,,,,,
"Arkia Israel Airlines","IZ","AIZ","ARKIA","Israel",true,,,,,
"A J Services","","AJA","AYJAY SERVICES","United Kingdom",false,,,,,
"Aero JBR","","AJB","AERO JBR","Mexico",false,,,,,
"Aero Jet Express","","AJE","JET EXPRESS","Mexico",false,,,,,
"Avia Consult Flugbetriebs","","AJF","AVIACONSULT","Austria",false,,,,,
"Ameristar Jet Charter","","AJI","AMERISTAR","United States",false,,,,,
"A2 Jet Leasing","","AJJ","ATLANTIC JET","United States",false,,,,,
"Allied Air","","AJK","BAMBI","Nigeria",false,,,,,
"Air Jamaica","JM","AJM","JAMAICA","Jamaica",true,,,,,
"Air Sahara","S2","RSH","SAHARA","India",true,,,,,
"Air Malta","KM","AMC","AIR MALTA","Malta",true,,,,,
"Aeroejecutivo","","AJO","AEROEXO","Mexico",false,,,,,
"Aero Jets Corporativos","","AJP","AEROJETS","Mexico",false,,,,,
"Aeroejecutivos Colombia","","AJS","AEROEJECUTIVOS","Colombia",false,,,,,
"Amerijet International","M6","AJT","AMERIJET","United States",false,,,,,
"Air Jetsul","","AJU","AIRJETSUL","Portugal",false,,,,,
"ANA & JP Express","","AJV","AYJAY CARGO","Japan",false,,,,,
"Alpha Jet International","","AJW","ALPHAJET","United States",false,,,,,
"Air Japan","NQ","AJX","AIR JAPAN","Japan",true,,,,,
"Ajet","","AJY","AYJET","Cyprus",false,,,,,
"Air Korea Co. Ltd.","","AKA","","Republic of Korea",true,,,,,
"Air Livonia","","LIV","LIVONIA","Estonia",false,,,,,
"Air BC","","ABL","AIRCOACH","Canada",false,,,,,
"Air Fret Senegal","","ABN"," ","Senegal",false,,,,,
"Air Jamahiriya Company","","LJA","AIR JAMAHIRIYA","Libya",false,,,,,
"Aktjubavia","","AKB","KARAB","Kazakhstan",false,,,,,
"Arca Aerovias Colombianas Ltda.","","AKC","ARCA","Colombia",false,,,,,
"Anikay Air Company","","AKF","ANIKAY","Kyrgyzstan",false,,,,,
"Akhal","","AKH","AKHAL","Turkmenistan",false,,,,,
"Aeromilenio","","MNI","AEROMIL","Mexico",false,,,,,
"Aklak Air","","AKK","AKLAK","Canada",false,,,,,
"Air Kiribati","4A","AKL","","Kiribati",true,,,,,
"Alkan Air","","AKN","ALKAN AIR","Canada",false,,,,,
"Angkor Airways","","AKW","ANGKORWAYS","Cambodia",false,,,,,
"Air Nippon Network Co. Ltd.","EH","AKX","ALFA WING","Japan",false,,,,,
"AK Navigator LLC","","AKZ","ABSOLUTE","Kazakhstan",false,,,,,
"Aero Albatros","","ALB","ALBATROS","Mexico",false,,,,,
"Albion Aviation","","ALD","ALBION","United Kingdom",false,,,,,
"Aeroalas Colombia","","ALE","AEROALAS","Colombia",false,,,,,
"Allied Command Europe (Mobile Force)","","ALF","ACEFORCE","Belgium",false,,,,,
"Aerotaxis Albatros","","BTS","AEROLINEAS ALBATROS","Mexico",false,,,,,
"American Flyers","","FYS","AMERICAN FLYERS","United States",false,,,,,
"Aero Coach Aviation","","DFA","AERO COACH","United States",false,,,,,
"Atlantic Southeast Airlines","","CAA","Chandler","United States",false,,,,,
"ACM Air Charter","","BVR","BAVARIAN","Germany",false,,,,,
"Air Logistics","","ALG","AIRLOG","United States",false,,,,,
"Aerovallarta","","ALL","VALLARTA","Mexico",false,,,,,
"Air ALM","","ALM","ANTILLEAN","Netherlands Antilles",false,,,,,
"Air Lincoln","","ALN","CHICAGO LINCOLN","United States",false,,,,,
"America West Airlines","HP","AWE","CACTUS","United States",false,,,,,
"Air Wisconsin","ZW","AWI","AIR WISCONSIN","United States",true,,,,,
"Aerotransporte de Carga Union","","TNO","AEROUNION","Mexico",false,,,,,
"Aero Taxis Cessna","","TND","TAXIS CESSNA","Mexico",false,,,,,
"Arizona Express Airlines","","TMP","TEMPE","United States",false,,,,,
"Tatarstan Airlines","U9","TAK","TATARSTAN","Russia",true,,,,,
"Allegheny Commuter Airlines","","ALO","ALLEGHENY","United States",true,,,,,
"Alpliner AG","","ALP","ALPINER","Switzerland",false,,,,,
"Altair Aviation (1986)","","ALQ","ALTAIR","Canada",false,,,,,
"Air Luxor STP","","ALU","LUXORJET","Sao Tome and Principe",false,,,,,
"Alas de Venezuela","","ALV","ALVEN","Venezuela",false,,,,,
"Alas Nacionales","","ALW"," S.A.","ALNACIONAL",false,,,,,
"Alyeska Air Service","","ALY","ALYESKA","United States",false,,,,,
"Alta Flights (Charters) Ltd.","","ALZ"," ","Canada",false,,,,,
"Air Sunshine","","RSI","AIR SUNSHINE","United States",true,,,,,
"ATMA","","AMA","ADIK","Kazakhstan",false,,,,,
"Aerolineas Medellin","","AMD","AEROLINEAS MEDELLIN","Colombia",false,,,,,
"Ameriflight","","AMF","AMFLIGHT","United States",false,,,,,
"Air Libert","VD","KPA","KUNPENG","France",false,,,,,
"Air Lithuania","TT","KLA","KAUNAS","Lithuania",true,,,,,
"Air Minas Linhas A","","AMG","AIR MINAS","Brazil",false,,,,,
"Alan Mann Helicopters Ltd.","","AMH","MANN","United Kingdom",false,,,,,
"Air Maldives","","AMI","AIR MALDIVES","Maldives",false,,,,,
"Aviation Amos","","AMJ","AVIATION AMOS","Canada",false,,,,,
"Amerer Air","","AMK","AMER AIR","Austria",false,,,,,
"Air Malawi","QM","AML","MALAWI","Malawi",true,,,,,
"Aeroputul International Marculesti","","AMM","AEROM","Moldova",false,,,,,
"Air Montenegro","","AMN","MONTENEGRO","Montenegro",false,,,,,
"Air Montreal (Air Holdings Inc.)","","AMO","AIR MONTREAL","Canada",false,,,,,
"Aero Transporte S.A. (ATSA)","","AMP","ATSA","Peru",false,,,,,
"Aeromedicare Ltd.","","AMQ","LIFELINE","United Kingdom",false,,,,,
"Air Sicilia","BM","BYE","BAYU","Italy",false,,,,,
"Air Specialties Corporation","","AMR","AIR AM","United States",false,,,,,
"Air Muskoka","","AMS","AIR MUSKOKA","Canada",false,,,,,
"ATA Airlines","","AMT","AMTRAN","United States",true,,,,,
"Air Macau","NX","AMU","AIR MACAO","Macao",true,,,,,
"AMC Airlines","","AMV","","Egypt",true,,,,,
"Air Midwest","ZV","AMW","AIR MIDWEST","United States",true,,,,,
"Air Seychelles","HM","SEY","SEYCHELLES","Seychelles",true,,,,,
"Air Sofia","","SFB","AIR SOFIA","Bulgaria",false,,,,,
"AeroMéxico","AM","AMX","AEROMEXICO","Mexico",true,,,,,
"Air Ambar","","AMY","AIR AMBAR","Dominican Republic",false,,,,,
"Amiya Airline","","AMZ","AMIYA AIR","Nigeria",false,,,,,
"All Nippon Airways","NH","ANA","ALL NIPPON","Japan",true,,,,,
"Air Navigation And Trading Co. Ltd.","","ANB","AIR NAV","United Kingdom",false,,,,,
"Anglo Cargo","","ANC","ANGLO","United Kingdom",false,,,,,
"Air Nostrum","YW","ANE","AIR NOSTRUM","Spain",true,,,,,
"Air Niugini","PX","ANG","NUIGINI","Papua New Guinea",true,,,,,
"Air Arabia","G9","ABY","ARABIA","United Arab Emirates",true,,,,,
"Air Canada","AC","ACA","AIR CANADA","Canada",true,,,,,
"Airport Bratsk","","BRP","AEROBRA","Russia",false,,,,,
"Air Wings","","BSB","ARBAS","Moldova",false,,,,,
"Air Baltic","BT","BTI","AIRBALTIC","Latvia",true,,,,,
"Alajnihah for Air Transport","","ANH","ALAJNIHAH","Libya",false,,,,,
"Air Atlantic (Nig) Limited","","ANI","NIGALANTIC","Nigeria",false,,,,,
"Air Nippon","EL","ANK","ANK AIR","Japan",true,,,,,
"Antares Airtransport","","ANM"," Maintenance & Service GmbH","ANTARES",false,,,,,
"Airnorth","TL","ANO","TOPEND","Australia",true,,,,,
"Aerol","","ANQ","ANTIOQUIA","Colombia",false,,,,,
"Andes Lineas Aereas","","ANS","AEROANDES","Argentina",false,,,,,
"Air North Charter - Canada","4N","ANT","AIR NORTH","Canada",true,,,,,
"Air Nevada","","ANV","AIR NEVADA","United States",false,,,,,
"AOM French Airlines","IW","AOM","French Lines","France",true,,,,,
"Aviacion Del Noroeste","","ANW"," S.A. de C.V.","AVINOR",false,,,,,
"Air New Zealand","NZ","ANZ","NEW ZEALAND","New Zealand",true,,,,,
"Avia Jaynar","","SAP","TOBOL","Kazakhstan",false,,,,,
"Aero Servicios Empresariales","","EMS","SERVIEMPRESARIAL","Mexico",false,,,,,
"Alcon Servicios Aereos","","AOA"," S.A. de C.V.","ALCON",false,,,,,
"AVCOM","J6","AOC","AERO AVCOM","Russia",false,,,,,
"Aero Vodochody","","AOD","AERO CZECH","Czech Republic",false,,,,,
"Air One Executive","","AOE"," ","Italy",false,,,,,
"Atair Pty Ltd.","","AOF","ATAIR","South Africa",false,,,,,
"Aero VIP","2D","AOG","AVIP","Argentina",true,,,,,
"Aeromundo Ejecutivo","","MUN","AEROMUNDO","Mexico",false,,,,,
"Aerolinea Muri","","MUR","MURI","Mexico",false,,,,,
"Astoria","","AOI"," Inc.","ASTORIA",false,,,,,
"Aero Rent JSC","","NRO","AEROMASTER","Russia",false,,,,,
"Aeronord-Grup","","NRP","AERONORD","Moldova",false,,,,,
"Aeroatlantico Colombia","","AOK","","Colombia",false,,,,,
"Angkor Airlines","","AOL","ANGKOR AIR","Cambodia",false,,,,,
"Aero Entreprise","","AON","AERO ENTERPRISE","France",false,,,,,
"As","","AOO"," Opened Joint Stock Company","COMPANY AS",false,,,,,
"Aeropiloto","","AOP","AEROPILOTO","Portugal",false,,,,,
"Aeroenlaces Nacionales","","VIV","AEROENLACES","Mexico",false,,,,,
"Aerovis Airlines","","VIZ","AEROVIZ","Ukraine",false,,,,,
"Avjet International (FZE)","","VJE","","United Arab Emirates",false,,,,,
"Aerovista Gulf Express","","VGF","VISTA GULF","United Arab Emirates",false,,,,,
"Air Vegas","6V","VGA","AIR VEGAS","United States",true,,,,,
"Almaver","","VER","ALMAVER","Mexico",false,,,,,
"Afro International Ent. Limited","","AOR","INTER-AFRO","Nigeria",false,,,,,
"Alitalia Express","XM","SMX","ALIEXPRESS","Italy",true,,,,,
"Asia Overnight Express","OE","AOT","ASIA OVERNIGHT","Philippines",false,,,,,
"Air Tractor","","AOU","AIR TRACTOR","Croatia",false,,,,,
"Aero Vision","","AOV","AEROVISION","France",false,,,,,
"Aerotaxi Del Valle","","AOX","AEROVALLE","Colombia",false,,,,,
"Air Park Aviation Ltd.","","APA","CAN-AM","Canada",false,,,,,
"Airpac Airlines","","APC"," Inc.","AIRPAC",false,,,,,
"Aeroservicios Monterrey","","SVM","SERVIMONTE","Mexico",false,,,,,
"Amapola Flyg AB","","APF","AMAPOLA","Sweden",false,,,,,
"Air People International","","APG","AIR PEOPLE","Thailand",false,,,,,
"Alpha Aviation","","APH"," Inc.","AIRFLIGHT",false,,,,,
"ASA Pesada","","API"," Lda.","ASA PESADA",false,,,,,
"Air Print","","APJ"," S.A.","AIR PRINT",false,,,,,
"Atlantic Airlines","","BJK","BLACKJACK","United States",false,,,,,
"Aerotransporte Petrolero","","PET","AEROPETRO","Colombia",false,,,,,
"Aero Flight","GV","ARF","Aero Fox","Germany",true,,,,,
"ACM Aviation","","BJT","BAY JET","United States",false,,,,,
"Aircompany Barcol","","BKL","BARCOL","Russia",false,,,,,
"All Charter Limited","","BLA","ALL CHARTER","United Kingdom",false,,,,,
"Appalachian Flying Service","","APL"," Inc.","APPALACHIAN",false,,,,,
"Airpac","","APM"," Inc.","ALASKA PACIFIC",false,,,,,
"Aeropro","","APO","AEROPRO","Canada",false,,,,,
